Country Name,Country Code,year,gdp_per_capita,log_gdp_per_capita
Aruba,ABW,2019,NA,NA
Afghanistan,AFG,2019,2293.55168387905,7.737856848720773
Angola,AGO,2019,6929.67815844764,8.843568649323048
Albania,ALB,2019,14495.0785140737,9.581564457972593
Andorra,AND,2019,NA,NA
Arab World,ARB,2019,15216.5434606137,9.630138500538898
United Arab Emirates,ARE,2019,69900.8778476933,11.154833486765265
Argentina,ARG,2019,22947.1397952874,10.040948580065697
Armenia,ARM,2019,14219.6277088197,9.562378522200142
American Samoa,ASM,2019,NA,NA
Antigua and Barbuda,ATG,2019,22816.4522023563,10.035237142545856
Australia,AUS,2019,53320.2690427848,10.884071820093583
Austria,AUT,2019,59110.5625590813,10.98716491092896
Azerbaijan,AZE,2019,15000.8164973542,9.615859911759863
Burundi,BDI,2019,782.816588798388,6.662898426915149
Belgium,BEL,2019,54545.1508845001,10.906784094266918
Benin,BEN,2019,3423.55172692169,8.138433807815073
Burkina Faso,BFA,2019,2280.38003653286,7.732097390748321
Bangladesh,BGD,2019,4950.74358140884,8.507293062747504
Bulgaria,BGR,2019,24561.1826135398,10.1089225331189
Bahrain,BHR,2019,46891.8598387148,10.755599375163854
"Bahamas, The",BHS,2019,37265.8121022677,10.525831619705944
Bosnia and Herzegovina,BIH,2019,15791.6747394431,9.667238164921327
Belarus,BLR,2019,19943.2925233137,9.900648151415046
Belize,BLZ,2019,7295.23013575062,8.894976007512149
Bermuda,BMU,2019,NA,NA
Bolivia,BOL,2019,9086.06069605746,9.114496726470652
Brazil,BRA,2019,15258.8508327006,9.632914996150959
Barbados,BRB,2019,16286.9795151271,9.698121264828993
Brunei Darussalam,BRN,2019,64673.2985705505,11.077103699333627
Bhutan,BTN,2019,NA,NA
Botswana,BWA,2019,18502.8182229188,9.825678335838399
Central African Republic,CAF,2019,984.028049674848,6.891654402413094
Canada,CAN,2019,51341.7051667877,10.846258667095004
Central Europe and the Baltics,CEB,2019,34136.1861041064,10.438113276695791
Switzerland,CHE,2019,70989.2581261576,11.170283850579581
Channel Islands,CHI,2019,NA,NA
Chile,CHL,2019,25154.9928229185,10.132811677611066
China,CHN,2019,16784.6593497155,9.728220614285075
Cote d'Ivoire,CIV,2019,5455.36001247764,8.604353892877315
Cameroon,CMR,2019,3804.07171078258,8.243827274902575
"Congo, Dem. Rep.",COD,2019,1143.4532245044,7.0418081070769025
"Congo, Rep.",COG,2019,3434.75567523643,8.141701074102404
Colombia,COL,2019,15643.7314460931,9.657825569152571
Comoros,COM,2019,3209.09129100149,8.073743089131973
Cabo Verde,CPV,2019,7469.07557883617,8.91852651930924
Costa Rica,CRI,2019,20434.4084263187,9.924975446536953
Caribbean small states,CSS,2019,16050.5338248407,9.683497388119742
Cuba,CUB,2019,NA,NA
Curacao,CUW,2019,NA,NA
Cayman Islands,CYM,2019,NA,NA
Cyprus,CYP,2019,41254.40458771,10.627513163946354
Czech Republic,CZE,2019,42575.6114778391,10.659036867796257
Germany,DEU,2019,56052.4220698856,10.934042640231887
Djibouti,DJI,2019,5748.08104445594,8.656621346691713
Dominica,DMA,2019,12659.3445149032,9.446150918283744
Denmark,DNK,2019,59830.1542405139,10.99926506436026
Dominican Republic,DOM,2019,19182.4091507031,9.861748947989678
Algeria,DZA,2019,11820.0876836807,9.377555709179672
East Asia & Pacific (excluding high income),EAP,2019,15031.0278892928,9.617871869583091
Early-demographic dividend,EAR,2019,9777.97084759796,9.187887261706242
East Asia & Pacific,EAS,2019,18443.4887824076,9.822466675658124
Europe & Central Asia (excluding high income),ECA,2019,22595.8029632441,10.025519458423247
Europe & Central Asia,ECS,2019,36828.2677077615,10.514020973517884
Ecuador,ECU,2019,11846.7805579093,9.379811426773946
"Egypt, Arab Rep.",EGY,2019,12250.7804142431,9.4133449212288
Euro area,EMU,2019,49237.3668853511,10.804408103753824
Eritrea,ERI,2019,NA,NA
Spain,ESP,2019,42214.1303934743,10.650510287423806
Estonia,EST,2019,38811.1433407717,10.566462683881907
Ethiopia,ETH,2019,2311.70438636716,7.745740361049571
European Union,EUU,2019,46467.4506044771,10.746507359469668
Fragile and conflict affected situations,FCS,2019,4962.04161658764,8.509572551275753
Finland,FIN,2019,51323.8333764442,10.845910511505942
Fiji,FJI,2019,14427.5824179953,9.576897099131292
France,FRA,2019,49435.179939609,10.808417594247922
Faroe Islands,FRO,2019,NA,NA
"Micronesia, Fed. Sts.",FSM,2019,NA,NA
Gabon,GAB,2019,15486.0683210591,9.647696080732048
United Kingdom,GBR,2019,48709.701144586,10.793633491380124
Georgia,GEO,2019,15636.5537604743,9.6573666420234
Ghana,GHA,2019,5636.95391019817,8.637099111748373
Gibraltar,GIB,2019,NA,NA
Guinea,GIN,2019,2670.30894674638,7.889949455092267
"Gambia, The",GMB,2019,2298.37817290533,7.739959010972462
Guinea-Bissau,GNB,2019,2071.81624750216,7.636180915808794
Equatorial Guinea,GNQ,2019,19327.1383188315,9.869265517726635
Greece,GRC,2019,31399.4156733879,10.354544562595418
Grenada,GRD,2019,17956.1054033822,9.795685469977165
Greenland,GRL,2019,NA,NA
Guatemala,GTM,2019,8995.5378734599,9.104483941535156
Guam,GUM,2019,NA,NA
Guyana,GUY,2019,10104.7011912961,9.220756059019124
High income,HIC,2019,52029.2674035501,10.859561673915186
"Hong Kong SAR, China",HKG,2019,62375.1193699712,11.040921746799022
Honduras,HND,2019,5965.3688189555,8.693726163124445
Heavily indebted poor countries (HIPC),HPC,2019,2642.02597665212,7.8793013172262585
Croatia,HRV,2019,29973.4260925049,10.30806647117787
Haiti,HTI,2019,1800.56456129513,7.495855539871855
Hungary,HUN,2019,33978.9550945494,10.43349664415127
IBRD only,IBD,2019,14019.8909988523,9.548232385868793
IDA & IBRD total,IBT,2019,11419.8826213345,9.343111204815191
IDA total,IDA,2019,3980.74548081047,8.289224387475066
IDA blend,IDB,2019,5063.06330977265,8.529726976290831
Indonesia,IDN,2019,12301.7528999018,9.41749704339375
IDA only,IDX,2019,3449.40722820421,8.145957677351193
Isle of Man,IMN,2019,NA,NA
